,Name,Gender,Age,Destination_Category,Temperature,Budget,Purpose,Num_of_People,Families,Duration,Travel Months,Transportation
0,Valerie Rodriguez,Male,55,City,Warm,Medium,Business,4,1,14,August,Train
1,Robert Perry,Female,54,Lake,Hot,Low,Leisure,1,0,3,July,Bus
2,Lindsay Fox,Female,56,Countryside,Cold,Medium,Leisure,2,1,3,July,Train
3,Nicole Henry,Female,43,Winery,Cold,Low,Leisure,3,0,3,June,Ferry
4,Laurie Odom,Female,57,Ski Resort,Warm,Low,Leisure,4,1,6,August,Train
5,Jason Cameron,Male,63,Spa Retreat,Cold,Low,Business,5,1,11,August,Airplane
6,Michael Duncan,Male,28,Countryside,Cold,Medium,Business,4,1,6,June,Train
7,Nicole Reeves,Female,59,Ski Resort,Cold,Low,Business,3,0,12,June,Ferry
8,Hannah Morris,Male,33,City,Cold,High,Business,1,1,9,July,Airplane
9,Lisa Vega,Male,62,Countryside,Warm,High,Leisure,3,1,12,July,Bus
10,Robert Cox,Female,58,Winery,Hot,Medium,Leisure,5,0,5,June,Airplane
11,Daniel Keller,Male,54,Countryside,Hot,High,Business,4,0,1,August,Train
12,Michelle Campbell,Female,44,Village,Hot,High,Business,3,0,8,July,Bus
13,Jessica Le,Male,24,Mountain,Warm,Low,Leisure,1,0,10,July,Train
14,Bradley Mccoy,Female,54,Ski Resort,Hot,High,Business,3,1,8,July,Airplane
15,Renee Duncan,Male,63,Countryside,Warm,Medium,Leisure,4,0,3,June,Airplane
16,Christine Bryant,Male,33,Spa Retreat,Hot,Low,Business,2,0,3,July,Bus
17,Kara Conley,Male,41,City,Hot,Low,Business,1,1,14,July,Car
18,Ronald Richards,Female,19,City,Cold,Medium,Business,2,0,1,July,Airplane
19,Billy Robinson,Male,36,Lake,Warm,High,Business,2,0,7,July,Train
20,Lauren Smith,Female,31,Photography Expedition,Warm,Low,Leisure,5,0,4,August,Train
21,Tyler Pugh,Female,59,Spa Retreat,Hot,Low,Business,2,1,9,June,Airplane
22,Amanda Dennis,Female,47,Photography Expedition,Hot,Medium,Business,1,0,12,August,Car
23,Charles Turner,Female,25,Village,Warm,Medium,Leisure,2,0,10,July,Ferry
24,Alexandra Meyer,Male,55,Spa Retreat,Hot,High,Leisure,4,0,10,July,Ferry
25,Dr. Daniel Le,Male,58,Winery,Warm,High,Business,3,1,7,July,Bus
26,Heather Steele DVM,Male,41,Countryside,Hot,Low,Business,3,0,4,August,Airplane
27,Mark Thomas II,Male,19,Photography Expedition,Hot,High,Business,3,1,1,July,Ferry
28,Vincent Murray,Female,26,Ski Resort,Hot,Medium,Business,1,0,4,July,Ferry
29,Steven Brown,Female,45,Village,Hot,Medium,Leisure,3,0,8,June,Train
30,Rebekah Wilson,Male,37,Village,Cold,Low,Business,5,0,11,July,Car
31,Taylor Cook,Male,34,Winery,Cold,Low,Business,5,0,6,July,Bus
32,Laura Martin,Male,27,Photography Expedition,Hot,High,Leisure,2,0,6,June,Bus
33,Sherri Lopez,Male,58,City,Warm,Medium,Business,5,0,7,July,Airplane
34,David Morgan,Male,39,Countryside,Warm,Medium,Business,3,0,14,June,Ferry
35,Michael Holt,Female,63,Countryside,Hot,High,Business,2,0,4,August,Bus
36,Anthony Lee,Male,46,Village,Cold,High,Business,3,0,13,August,Bus
37,Laura Bell,Female,55,Spa Retreat,Hot,Low,Leisure,3,1,6,July,Car
38,Ryan Arnold,Male,45,City,Hot,Medium,Leisure,2,0,12,July,Train
39,David Jimenez,Male,55,Photography Expedition,Warm,Medium,Business,3,0,2,August,Bus
