,Name,Gender,Age,Destination_Category,Temperature,Budget,Purpose,Num_of_People,Families,Duration,Travel Months,Transportation,Hobby,Language
0,Austin Schmidt,Male,32,Spa Retreat,Warm,High,Business,1,0,3,June,Car,Gaming,EN
1,Robin Smith,Male,39,Island,Hot,Low,Business,1,0,6,July,Car,Climbing,FR
2,John Brown,Male,26,Ski Resort,Cold,High,Leisure,5,1,13,July,Car,Photography,EN
3,Andrew Norris,Male,45,Lake,Cold,Medium,Leisure,2,0,2,June,Car,Climbing,ZH
4,Keith Maldonado,Female,41,Mountain,Cold,High,Business,2,1,1,June,Airplane,Gaming,FR
5,Emily Wilson,Male,22,Lake,Warm,High,Business,4,1,9,July,Train,Photography,EN
6,Dr. Rachel Ruiz,Male,58,Spa Retreat,Cold,High,Leisure,3,1,5,August,Ferry,Photography,EN
7,Shelia Jackson,Female,26,Lake,Warm,Medium,Business,2,1,7,June,Bus,Drawing,FR
8,Thomas Delgado,Female,28,Winery,Cold,Low,Leisure,5,1,11,August,Ferry,Photography,ZH
9,Timothy Hall,Male,26,Lake,Hot,Medium,Leisure,1,1,10,July,Airplane,Gaming,FR
10,Jason Roth,Male,25,Lake,Cold,Medium,Leisure,1,0,2,July,Bus,Drawing,ZH
11,Wendy Norman,Female,46,Island,Warm,Low,Business,1,1,12,July,Car,Photography,FR
12,Norman Duncan,Male,36,Mountain,Hot,High,Leisure,5,0,14,July,Car,Photography,EN
13,Mckenzie Randall,Female,58,City,Hot,Low,Business,2,1,1,August,Train,Photography,FR
14,Marissa Underwood,Male,30,City,Hot,High,Leisure,4,1,12,July,Train,Climbing,FR
15,Diana Smith,Female,23,Countryside,Hot,Low,Business,4,1,9,August,Airplane,Gaming,ZH
16,Michael Edwards,Female,33,Photography Expedition,Warm,Low,Leisure,2,0,11,July,Airplane,Gaming,EN
17,Carlos Lee,Male,24,Spa Retreat,Cold,High,Leisure,4,0,8,June,Ferry,Photography,EN
18,Lori Beck,Male,54,Village,Cold,High,Business,1,1,13,June,Bus,Gaming,FR
19,Robin Moore,Male,50,Spa Retreat,Warm,Medium,Business,3,1,6,August,Car,Gaming,ZH
20,Bruce Ramos,Male,63,Lake,Warm,High,Leisure,3,0,5,June,Train,Climbing,FR
