,Name,Gender,Age,Destination_Category,Temperature,Budget,Purpose,Num_of_People,Families,Duration,Travel Months,Transportation,Hobby,Language
0,Kimberly Shea,Female,49,Mountain,Hot,Medium,Leisure,2,1,10,October,Ferry,Creative Arts,EN
1,Evelyn Cox,Female,25,Photography Expedition,Warm,High,Business,2,0,8,September,Train,Creative Arts,EN
2,Caleb Mccormick,Male,64,Village,Warm,Low,Business,3,0,8,September,Car,Creative Arts,EN
3,Christopher Rodriguez,Male,24,Ski Resort,Hot,Low,Leisure,1,0,14,November,Airplane,Intellectual Pursuits,FR
4,Rebecca Jackson,Male,22,City,Cold,High,Leisure,5,0,2,September,Train,Intellectual Pursuits,FR
5,Nicholas Ayala,Male,37,Mountain,Warm,Low,Business,3,1,4,September,Airplane,Outdoor Exploration,FR
6,James Jones,Female,53,Winery,Hot,Low,Business,3,0,11,October,Ferry,Outdoor Exploration,FR
7,Betty Dean,Male,46,Countryside,Hot,High,Leisure,1,0,7,September,Train,Outdoor Exploration,ZH
8,Melissa Thomas,Male,40,Photography Expedition,Warm,High,Business,5,1,11,September,Airplane,Intellectual Pursuits,FR
9,James Haynes,Female,19,Village,Hot,Low,Business,1,0,5,October,Train,Culinary,EN
10,Rhonda Nolan,Male,49,Winery,Warm,Medium,Business,1,1,6,September,Ferry,Culinary,ZH
11,Mr. Tommy Clark,Male,50,City,Cold,High,Business,3,1,4,November,Train,Culinary,ZH
12,Cassandra Graham,Male,36,Lake,Cold,High,Business,4,0,10,September,Car,Physical Sports,ZH
13,John Scott,Male,42,Mountain,Cold,High,Leisure,2,0,1,September,Car,Culinary,EN
14,Shane Wood,Male,59,Ski Resort,Hot,Medium,Leisure,2,0,7,October,Ferry,Outdoor Exploration,EN
15,Howard Jones,Female,36,Countryside,Hot,Low,Business,4,0,13,November,Ferry,Physical Sports,ZH
16,Craig Lynch,Male,28,Ski Resort,Warm,Low,Business,4,0,4,October,Airplane,Culinary,ZH
17,Jennifer Clarke MD,Female,18,City,Cold,High,Business,4,1,14,October,Bus,Physical Sports,ZH
18,Vincent Mata,Male,47,Lake,Cold,Medium,Leisure,2,0,5,November,Ferry,Outdoor Exploration,ZH
19,Amy Rogers,Female,47,Lake,Warm,High,Business,1,1,6,September,Train,Physical Sports,EN
20,Ann Moody,Male,27,City,Warm,Medium,Leisure,4,0,4,October,Bus,Culinary,ZH
21,Jonathan Lucas,Female,20,Island,Hot,Medium,Business,4,1,10,November,Ferry,Outdoor Exploration,FR
22,David Kennedy,Male,27,Mountain,Cold,Low,Leisure,1,1,1,November,Car,Physical Sports,ZH
23,Eric Davis,Female,47,Island,Cold,High,Business,3,0,1,September,Train,Creative Arts,ZH
24,Brian Farmer,Female,38,Mountain,Warm,Low,Leisure,2,0,7,November,Car,Physical Sports,FR
25,Angela Williams,Male,18,Photography Expedition,Hot,Low,Business,3,0,2,November,Bus,Physical Sports,ZH
26,Margaret Lopez,Male,49,Photography Expedition,Cold,Low,Leisure,4,0,12,November,Car,Intellectual Pursuits,ZH
27,Shannon Wolf,Male,24,Island,Cold,Medium,Business,5,0,3,November,Car,Culinary,ZH
